Municipality,"Average Opioid-Related Death Rate per 100,000 People from 2001-2005","Average Opioid-Related Death Rate  per 100,000 People from 2006-2010","Average Opioid-Related Death Rate  per 100,000 People from 2011-2015"
Essex,0.0,5.9,11.4
Everett,18.5,14.2,32.6
Fairhaven,12.4,22.3,17.6
Fall River,24.4,25.4,34.9
Falmouth,7.9,10.8,21.6
Fitchburg,14.7,14.8,23.8
Florida,0.0,0.0,0.0
Foxborough,4.9,8.5,5.9
Framingham,7.8,7.3,10.5
Franklin,5.4,5.8,10.7
Freetown,2.3,0.0,20.3
Gardner,13.5,9.6,17.8
Aquinnah,0.0,0.0,129.0
Georgetown,0.0,7.4,12.2
Gill,0.0,0.0,26.7
Gloucester,18.4,10.6,21.5
Goshen,0.0,0.0,19.0
Gosnold,0.0,0.0,0.0
Grafton,3.9,5.9,9.0
Granby,0.0,3.2,19.2
Granville,38.8,0.0,0.0
Great Barrington,0.0,0.0,8.4
Greenfield,7.7,6.7,25.2
Groton,2.1,9.6,5.6
Groveland,6.5,12.2,18.6
Hadley,4.2,0.0,7.6
Halifax,7.9,5.2,21.3
Hamilton,2.4,2.4,5.2
Hampden,0.0,7.6,15.6
Hancock,0.0,0.0,0.0
Hanover,12.0,7.1,7.2
Hanson,10.4,12.0,17.6
Hardwick,7.6,14.7,13.4
Harvard,6.7,0.0,3.1
Harwich,6.4,7.9,16.3
Hatfield,0.0,0.0,30.5
Haverhill,8.1,12.0,27.9
Hawley,0.0,0.0,0.0
Heath,0.0,0.0,0.0
Hingham,2.0,4.6,3.6
Hinsdale,0.0,0.0,19.7
Holbrook,13.0,20.4,25.9
Holden,1.3,3.6,12.7
Holland,0.0,0.0,8.1
Holliston,7.2,2.9,7.4
Holyoke,6.0,12.2,16.6
Hopedale,3.3,6.5,13.5
Hopkinton,10.4,1.4,9.4
Hubbardston,0.0,4.6,18.3
Hudson,5.5,4.2,12.6
Hull,5.4,12.6,21.4
Huntington,18.4,9.2,0.0
Ipswich,4.6,10.6,18.2
Kingston,5.0,8.0,7.9
Lakeville,0.0,3.8,5.7
Lancaster,5.5,5.5,12.4
Lanesborough,6.7,0.0,6.5
Lawrence,10.8,7.4,18.6
Lee,0.0,0.0,13.5
Leicester,5.7,11.0,10.9
Lenox,0.0,0.0,8.0
Leominster,9.2,7.6,15.2
Leverett,11.9,0.0,0.0
Lexington,5.9,2.6,5.7
Leyden,0.0,25.2,0.0
Lincoln,0.0,0.0,0.0
Littleton,0.0,6.9,0.0
Longmeadow,3.8,1.3,6.3
Lowell,10.6,13.4,28.4
Ludlow,5.6,6.5,9.5
Lunenburg,10.5,2.0,15.9
Lynn,21.9,19.4,32.1
Lynnfield,8.7,1.7,5.2
Malden,12.1,15.4,21.5
Manchester,7.6,0.0,0.0
Mansfield,13.3,4.4,10.4
Marblehead,2.9,4.0,6.1
Marion,7.7,0.0,8.2
Marlborough,7.1,7.5,13.5
Marshfield,4.1,12.8,15.9
Mashpee,12.1,9.9,27.1
Mattapoisett,6.3,0.0,6.6
Maynard,0.0,5.9,15.8
Medfield,3.3,4.9,1.7
Medford,13.4,14.4,19.9
Medway,8.0,11.0,3.1
Melrose,8.2,9.1,14.1
Mendon,3.7,6.9,10.3
Merrimac,0.0,6.3,9.5
Methuen,7.3,10.6,11.0
Middleborough,8.9,9.3,26.8
Middlefield,0.0,0.0,38.4
Middleton,2.5,11.0,13.4
Milford,8.2,7.2,10.7
Millbury,10.8,9.0,18.1
Millis,5.1,0.0,5.1
Millville,0.0,0.0,0.0
Milton,3.8,3.0,4.4
Monroe,0.0,0.0,0.0
Monson,7.1,4.6,7.0
Montague,9.4,9.5,4.7
Monterey,0.0,0.0,0.0
Montgomery,0.0,0.0,0.0
Mount Washington,0.0,0.0,0.0
Nahant,0.0,22.5,5.9
Nantucket,2.1,5.9,5.9
Natick,3.7,3.1,10.3
Needham,4.2,0.7,1.4
New Ashford,0.0,0.0,87.7
New Bedford,23.0,23.9,32.2
New Braintree,20.8,0.0,20.0
New Marlborough,0.0,0.0,13.3
New Salem,0.0,0.0,20.2
Newbury,5.9,8.7,12.0
Newburyport,8.1,3.4,13.8
Newton,2.9,4.3,5.6
Norfolk,0.0,3.8,5.3
North Adams,9.6,12.9,23.3
North Andover,3.7,5.1,7.8
North Attleborough,1.5,11.3,18.1
North Brookfield,0.0,8.4,12.8
North Reading,2.9,5.7,5.4
Northampton,4.8,11.1,18.2
Northborough,1.4,5.5,2.8
Northbridge,14.9,9.7,16.6
Northfield,0.0,0.0,13.2
Norton,8.8,9.4,15.8
Norwell,4.0,7.7,15.2
Norwood,9.1,10.5,11.2
Oak Bluffs,5.4,5.1,17.7
Oakham,0.0,21.1,0.0
Orange,5.3,10.4,25.5
Orleans,9.4,6.3,6.8
Otis,0.0,0.0,0.0
Oxford,10.4,5.8,24.8
Palmer,8.0,15.7,13.2
Paxton,9.0,0.0,20.8
Peabody,7.4,9.0,16.0
Pelham,0.0,14.3,0.0
Pembroke,4.7,8.9,17.9
Pepperell,7.1,5.3,22.6
Peru,0.0,0.0,0.0
Petersham,16.7,15.7,16.2
Phillipston,0.0,0.0,11.9
Pittsfield,4.0,4.1,26.4
Plainfield,0.0,0.0,0.0
Plainville,5.2,9.9,14.5
Plymouth,4.2,9.4,19.5
Plympton,7.5,0.0,7.1
Princeton,0.0,0.0,23.4
Provincetown,46.6,0.0,6.8
Quincy,15.1,15.4,32.7
Randolph,5.8,7.4,18.7
Raynham,8.3,3.0,16.4
Reading,11.0,6.0,8.1
Rehoboth,3.9,1.8,3.4
Revere,23.4,21.4,29.4
Richmond,0.0,0.0,13.6
Rochester,12.7,0.0,3.8
Rockland,10.2,15.8,29.7
Rockport,7.7,7.9,23.0
Rowe,0.0,0.0,0.0
Rowley,0.0,0.0,10.2
Royalston,0.0,0.0,31.8
Russell,0.0,11.5,11.3
Rutland,12.2,0.0,7.5
Salem,14.8,11.5,19.4
Salisbury,5.1,21.8,38.6
Sandisfield,0.0,0.0,0.0
Sandwich,6.9,5.8,8.7
Saugus,16.0,16.4,22.5
Savoy,0.0,0.0,0.0
Scituate,2.2,5.5,18.8
Seekonk,4.5,2.9,4.4
Sharon,0.0,4.6,11.4
Sheffield,0.0,0.0,6.1
Shelburne,0.0,9.9,31.7
Sherborn,0.0,4.8,9.7
Shirley,15.2,10.9,16.6
Shrewsbury,6.9,4.2,6.2
Shutesbury,0.0,0.0,0.0
Somerset,5.5,13.0,12.1
Somerville,9.3,7.4,14.8
South Hadley,3.5,11.7,8.0
Southampton,0.0,3.4,6.9
Southborough,0.0,6.3,2.0
Southbridge,12.7,12.7,19.1
Southwick,6.7,10.5,10.5
Spencer,8.5,18.3,24.0
Springfield,10.2,10.0,16.6
Sterling,8.2,7.7,5.1
Stockbridge,0.0,0.0,20.5
Stoneham,5.4,11.1,16.8
Stoughton,7.4,18.6,26.7
Stow,3.4,3.2,3.0
Sturbridge,10.0,6.7,8.6
Sudbury,1.2,3.5,1.1
Sunderland,0.0,0.0,5.4
Sutton,0.0,4.5,4.5
Swampscott,5.6,11.3,13.1
Swansea,7.5,14.8,16.4
Taunton,12.5,10.0,22.6
Templeton,5.8,15.8,15.0
Tewksbury,3.5,8.3,13.1
Tisbury,0.0,26.0,15.2
Tolland,0.0,0.0,0.0
Topsfield,0.0,6.5,9.9
Townsend,2.2,10.9,17.9
Truro,9.5,9.4,0.0
Tyngsborough,9.0,5.3,17.7
Tyringham,0.0,0.0,61.2
Upton,3.5,6.1,5.3
Uxbridge,7.0,9.5,16.4
Wakefield,11.3,10.6,19.3
Wales,11.4,11.0,0.0
Walpole,2.6,6.9,8.3
Waltham,7.4,6.7,12.2
Ware,6.1,10.0,28.4
Wareham,7.8,11.2,32.1
Warren,4.1,4.0,23.4
Warwick,0.0,0.0,0.0
Washington,0.0,0.0,0.0
Watertown,9.1,8.1,13.8
Wayland,1.5,3.1,6.2
Webster,13.3,10.7,25.1
Wellesley,1.5,2.2,1.4
Wellfleet,7.2,14.3,21.8
Wendell,0.0,0.0,0.0
Wenham,4.5,4.3,12.3
West Boylston,5.3,5.2,13.0
West Bridgewater,0.0,8.8,26.0
West Brookfield,0.0,15.6,21.6
West Newbury,4.8,0.0,0.0
West Springfield,9.3,13.6,15.5
West Stockbridge,0.0,14.1,15.3
West Tisbury,8.0,0.0,7.3
Westborough,6.6,0.0,4.4
Westfield,8.5,9.9,14.6
Westford,3.8,0.0,1.8
Westhampton,0.0,12.7,0.0
Westminster,2.9,13.6,2.7
Weston,0.0,5.2,5.3
Westport,5.6,6.6,12.9
Westwood,4.3,4.3,5.5
Weymouth,11.9,18.6,27.5
Whately,0.0,0.0,0.0
Whitman,15.7,12.5,17.9
Wilbraham,8.8,4.3,5.6
Williamsburg,8.2,8.2,8.1
Williamstown,0.0,0.0,5.2
Wilmington,5.6,10.2,15.2
Winchendon,12.4,15.8,15.5
Winchester,0.0,9.4,4.7
Windsor,0.0,0.0,0.0
Winthrop,13.3,25.7,26.3
Woburn,11.8,9.7,15.7
Worcester,10.9,14.3,24.9
Worthington,0.0,0.0,17.3
Wrentham,5.6,10.9,7.3
Yarmouth,8.1,12.3,26.1
